Year,Page,Sample,Flow,Mass,Vial,Filename,Path,Species,Population,Plant,Cutting,PlantDate,Inflo,Diurnal,Sex,Leaves,Inflor,Mphase,Fphase,Closed,Buds,Flrs,ClosedCN,BudsCN,FlrsCN,Bag,Photo,Room,FlowRate,Temp,SampleDate,Equil,Start,Stop,Equi,Duration,Total,RunDate,Method,Blank,GC,Results,Notes
2016,,011,,,1,SADAMANTIS011,./Schiedea/SADAMANTIS11_160524.D,adamantis,847,397-6,Cutting 1,,,,H,,1,-,-,,,19,,,,32,"190,300",106,150G,25,2016-05-20,,17:52,18:52,0.03,1.00,1.03,2016-05-24,TD2804ml,1,C,Column contaminants,same infloresence/bag as 12
2016,,012,,,2,SADAMANTIS012,./Schiedea/SADAMANTIS12_160624.D,adamantis,847,397-6,Cutting 1,,,,H,,1,-,-,,,19,,,,32,"190,300",106,150G,25,2016-05-20,seq,18:59,19:31,,0.53,0.53,2016-05-24,TD2804ml,1,C,Column contaminants,same infloresence/bag as 11
2016,,013,,,3,SMENZIESII013,./Schiedea/SMENZIESII13_160527.D,menziesii,950,429-1,Cutting 1,,,,H,,2,1,14,1,32,1,,,,16,"150027, 145946",8,150G,25,2016-05-25,12:21,13:01,13:35,0.67,0.57,1.23,2016-05-27,TD2804ml,1,C,Column contaminants,same infloresence/bag as 14
2016,,014,,,4,SMENZIESII014,./Schiedea/SMENZIESII14_160527.D,menziesii,950,429-1,Cutting 1,,,,H,,2,1,14,1,32,1,,,,16,"150027, 145947",8,150G,25,2016-05-25,seq,13:39,14:57,,1.30,1.30,2016-05-27,TD2804ml,1,C,Column contaminants,same infloresence/bag as 13
2016,,015,,,1,SHOOKERI015,./Schiedea/SHOOKERI15_160527.D,hookeri,794,Loc 2,Cutting 2,,,,H,,3,2,21,24,,2,,,,16,"163540, 163521",8,150G,25,2016-05-25,16:36,17:10,18:10,0.57,0.50,1.07,2016-05-27,TD2804ml,1,C,Column contaminants,popped out of bag for ~30 min
2016,,016,,,2,SADAMANTIS016,./Schiedea/SADAMANTIS16_160625.D,adamantis,847,359-22,Cutting 1,,,,F,,1,-,-,1,12,20,,,,16,"213,136",8,150G,25,2016-06-04,19:12,19:48,20:21,0.60,0.55,1.15,2016-06-25,TD200,2,G,,
2016,,017,,,1,SADAMANTIS017,./Schiedea/SADAMANTIS17_160625.D,adamantis,847,359-22,Cutting 1,,,,F,,1,-,-,1,12,20,,,,8,"213,136",8,150G,22,2016-06-04,20:30,21:07,21:40,0.62,0.55,1.17,2016-06-25,TD200,2,G,,
2016,,018,,,3,AMBIENT018,./Ambient/AMBIENT18_160626.D,ambient,-,-,-,,,,-,,-,-,-,-,-,-,,,,16,-,8,150G,22,2016-06-04,21:47,21:47,22:16,0.00,0.48,0.48,2016-06-26,TD200,1,G,,bag was closed so already equilibrated
2016,,019,,,4,SMENZIESII019,./Schiedea/SMENZIESII19_160625.D,menziesii,950,406,Cutting 2,,,,H,2,1,0,8,0,12,8,,,,16,*,8,150G,23,2016-06-06,17:40,18:15,18:45,0.58,0.50,1.08,2016-06-25,TD200,2,G,,
2016,,020,,,5,SADAMANTIS020,./Schiedea/SADAMANTIS20_160626.D,adamantis,847,458-69 Clone B,Cutting 1,,,,H,2,1,9,22,10,33,31,,,,16,*,8,150G,23,2016-06-06,18:27,19:03,19:33,0.60,0.50,1.10,2016-06-26,TD200,1,G,,
2016,,021,,,B,SKEALIAE021,./Schiedea/SKEALIAE21_160625.D,kealiae,791,6A,Cutting 2,,,,F,0,2,-,-,3,39,48,,,,16,*,8,150G,23,2016-06-06,19:07,19:39,20:12,0.53,0.55,1.08,2016-06-25,TD200,2,G,,
2016,,022,,,6,SGLOBOSA022,./Schiedea/SGLOBOSA22_160625.D,globosa,10228,32-8,Cutting 1,,,,F,0,1,-,-,0,21,66,,,,16,*,8,150G,22,2016-06-06,20:24,21:06,21:36,0.70,0.50,1.20,2016-06-25,TD200,2,G,,905-24-2M not flowering
2016,,023,,,7,AMBIENT023,./Ambient/AMBIENT23_160625.D,ambient,-,-,-,,,,-,-,-,-,-,-,-,-,,,,16,-,8,150G,22,2016-06-06,21:36,21:36,21:58,0.00,0.37,0.37,2016-06-25,TD200,2,G,,bag was closed so already equilibrated
2016,,024,,,1,SKAALAE024,./Schiedea/SKAALAE24_160714.D,kaalae,3587,3,Clone 1,,,,H,0,2,2,33,31,5,35,,,,16,-,8,200D,25,2016-07-13,17:20,17:53,18:23,0.55,0.50,1.05,2016-07-14,TD200,2,G,,Diacetone alcohol left.
2016,,025,,,2,AMBIENT025,./Ambient/AMBIENT25_160714.D,ambient,-,-,-,,,,-,-,-,-,-,-,-,-,,,,16,-,8,200D,25,2016-07-13,17:42,17:42,18:03,0.00,0.35,0.35,2016-07-14,TD200,2,G,,Diacetone alcohol left.
2016,,026,,,3,SHOOKERI026,./Schiedea/SHOOKERI26_160714.D,hookeri,866,2,Cutting 2,,,,H,2,1,2,14,34,5,16,,,,16,-,8,200D,25,2016-07-13,17:35,18:04,18:34,0.48,0.50,0.98,2016-07-14,TD200,2,G,,
2016,,027,,,24,SAPOKREMNOS027,./Schiedea/SAPOKREMNOS27_160719_8.D,apokremnos,889,M-1,,,,,H,0,1,-,-,17,0,43,,,,16,*,8,200D,25,2016-07-18,17:57,18:33,19:03,0.60,0.50,1.10,2016-07-19,TD200,2,G,,
2016,,028,,,23,SKAALAE028,./Schiedea/SKAALAE28_160719_7.D,kaalae,881,2,Self 5,,,,H,0,1,2,14,5,16,16,,,,16,*,8,200D,25,2016-07-18,18:10,18:40,19:18,0.50,0.63,1.13,2016-07-19,TD200,2,G,,
2016,,029,,,22,SHOOKERI029,./Schiedea/SHOOKERI29_160719_6.D,hookeri,899,2E-1,,,,,H,4,1,2,14,0,15,16,,,,16,*,8,200D,25,2016-07-18,18:36,19:06,19:36,0.50,0.50,1.00,2016-07-19,TD200,2,G,,Data smells like a hybrid - check
2016,,030,,,21,SKAALAE030,./Schiedea/SKAALAE30_160719_5.D,kaalae,881,2,Self 4,,,,H,0,1,1,17,16,5,18,,,,16,*,8,200D,25,2016-07-18,18:50,19:21,19:51,0.52,0.50,1.02,2016-07-19,TD200,2,G,,
2016,,031,,,20,AMBIENT031,./Ambient/AMBIENT31_160719_3.D,ambient,-,-,-,,,,-,-,-,-,-,-,-,-,,,,16,,8,200D,25,2016-07-18,19:41,19:41,20:11,0.00,0.50,0.50,2016-07-19,TD200,2,G,,
2016,,032,,,19,SAPOKREMNOS032,./Schiedea/SAPOKREMNOS32_160719_4.D,apokremnos,90471,2,,,,,F,2,1,-,-,1,28,29,,,,16,*,8,200D,25,2016-07-18,19:25,19:55,20:26,0.50,0.52,1.02,2016-07-19,TD200,2,L,,
2016,,033,,,15,SVISCOSA033,./Schiedea/SVISCOSA33_160725_3.D,viscosa,5031,2,Cutting 1,,,,H,0,1,-,-,0,0,1,,,,tiny,-,8,200D,25,2016-07-19,18:16,18:53,19:45,0.62,0.87,1.48,2016-06-25,TD200,2,G,,
2016,,034,,,16,SMEMBRANACEA034,#N/A,membranacea,864,no tag,-,,,,H,28,1,2,12,25,11,14,,,,16,-,8,200D,25,2016-07-19,18:29,18:58,19:36,0.48,0.63,1.12,2016-06-25,TD200,2,0,desorbed,
2016,,035,,,17,STRINERVIS035,./Schiedea/STRINERVIS35_160725_5.D,trinervis,908,11,Clone 2,,,,H,0,2,-,-,0,12,10,,,,32,-,8,200D,25,2016-07-19,19:07,19:39,20:09,0.53,0.50,1.03,2016-06-25,TD200,2,G,,
2016,,036,,,18,SVERTICILLATA036,./Schiedea/SVERTICILLATA36_160725_6.D,verticillata,880,1,Clone 2,,,,H,0,1,6,10,19,24,16,,,,16,-,8,200D,25,2016-07-19,19:19,19:49,20:19,0.50,0.50,1.00,2016-06-25,TD200,2,G,,
2016,,037,,,21,SSTELLARIODES037,./Schiedea/SSTELLARIODES37_160728_5.D,stellariodes,14651,3B,-,,,,H,2,3,1,22,9,19,23,,,,16,-,8,200D,25,2016-07-25,18:56,19:19,19:49,0.38,0.50,0.88,2016-07-28,TD200,3,G,,
2016,,038,,,22,SJACOBII038,#N/A,jacobii,14807,13-2,-,,,,H,0,1,4,17,19,15,21,,,,16,-,8,200D,25,2016-07-25,19:07,19:44,20:14,0.62,0.50,1.12,2016-07-28,TD200,3,0,desorbed,
2016,,039,,,23,SAPOKREMNOS039,./Schiedea/SAPOKREMNOS39_160728_6.D,apokremnos,90462,21,-,,,,H,0,1,-,-,3,14,50,,,,16,-,8,200D,25,2016-07-25,19:09,19:51,20:20,0.70,0.48,1.18,2016-07-28,TD200,3,L,,
2016,,040,,,1,SSILENE-ALEXANDRI040,./Schiedea/SILENEALEXANDRI40_160728_4.D,silene-alexandri,,3,Cutting 1,,,,H,0,1,-,-,0,4,5,,,,16,*,8,200D,25,2016-07-25,19:48,20:18,20:48,0.50,0.50,1.00,2016-07-28,TD200,3,G,,
2016,,041,,,24,SPERLMANII041,./Schiedea/SPERLMANII41_160728_7.D,perlmanii,12917,2B,Clone 1,,,,H,0,1,3,14,41,13,17,,,,16,*,8,200D,25,2016-07-25,20:02,20:23,20:53,0.35,0.50,0.85,2016-07-28,TD200,3,G,,
2016,,042,,,15,SHOOKERI042,./Schiedea/SHOOKERI42_160803_4.D,hookeri,866,2,Clone 1,,,D,H,12,2,4,22,10,9,26,,,,16,*,8,200D,29,2016-08-02,12:23,12:55,13:35,0.53,0.67,1.20,2016-08-07,TD200,2,L,benzene,
2016,,043,,,16,SLYCHNOIDES043,./Schiedea/SLYCHNOIDES43_160807_3.D,lychnoides,867,2,Pot 4 5,,,,H,10,1,-,-,0,2,5,,,,32,*,8,200D,29,2016-08-02,12:28,12:58,13:47,0.50,0.82,1.32,2016-08-07,TD200,2,L,benzene,
2016,,044,,,17,SMEMBRANACEA044,./Schiedea/SMEMBRANACEA44_160807_4.D,membranacea,864,5x9C,Cutting 7,,,,H,8,1,4,28,13,21,32,,,,16,*,8,200D,28,2016-08-02,13:05,13:38,14:10,0.55,0.53,1.08,2016-08-07,TD200,2,G,benzene,
2016,,045,,,18,SLYDGATEI045,./Schiedea/SLYDGATEI45_160807_5.D,lydgatei,6682,223-1,-,,,,H,4,9,0,20,24,8,20,,,,32,*,8,200D,28,2016-08-02,13:17,13:51,14:21,0.57,0.50,1.07,2016-08-07,TD200,2,G,benzene,
2016,,046,,,19,SVERTICILLATA046,./Schiedea/SVERTICILLATA46_160807_6.D,verticillata,880,5,Clone 2,,,,H,2,1,5,3,0,8,8,,,,16,*,8,200D,28,2016-08-02,13:19,14:13,14:40,0.90,0.45,1.35,2016-08-07,TD200,2,L,benzene,
2016,,047,,,20,SSALICARIA047,./Schiedea/SSALICARIA47_160807_7.D,salicaria,842,151E,-,,,,H,2,3,2,33,6,12,35,,,,32,*,8,200D,28,2016-08-02,14:00,14:24,15:00,0.40,0.60,1.00,2016-08-07,TD200,2,L,benzene,
2016,,048,,,21,SLIGUSTRINA048,./Schiedea/SLIGUSTRINA48_160807_8.D,ligustrina,873,35,Clone 1,,,,H,0,2,4,21,10,11,25,,,,16,*,8,200D,28,2016-08-02,14:18,14:42,15:18,0.40,0.60,1.00,2016-08-07,TD200,2,G,benzene,
2016,,049,,,22,SLIGUSTRINA049,./Schiedea/SLIGUSTRINA49_160807_9.D,ligustrina,873,A,-,,,,F,9,3,-,-,30,15,99,,,,16,*,8,200D,27,2016-08-02,14:32,15:07,15:37,0.58,0.50,1.08,2016-08-07,TD200,2,G,benzene,
2016,,050,,,23,SADAMANTIS050,./Schiedea/SADAMANTIS50_160807_0.D,adamantis,847,37 94x51,ID3,,,,H,2,3,6,55,11,40,61,,,,16,*,8,200D,27,2016-08-02,15:26,15:58,16:30,0.53,0.53,1.07,2016-08-07,TD200,2,G,benzene,
2016,,051,,,24,SSALMEN051,./Schiedea/SSALIMEMB51_160807_1.D,salmen,902,108-4,Clone 2,,,,H,6,3,2,23,8,3,25,,,,16,*,8,200D,27,2016-08-02,15:29,16:02,16:31,0.55,0.48,1.03,2016-08-07,TD200,2,L,benzene,
2016,,052,,,1,SADAMANTIS052,./Schiedea/SADAMANTIS52_160803_5.D,adamantis,847,37 94x51,ID3,,,,H,2,3,6,55,11,40,61,,,,16,*,8,200D,26,2016-08-02,seq,16:35,16:45,0.00,0.17,0.17,2016-08-03,TD200,2,G,,Same infloresence as sample 23
2016,,053,,,2,SSALMEN053,./Schiedea/SSALIMEMB53_160803_6.D,salmen,902,108-4,Clone 2,,,,H,6,3,2,23,8,3,25,,,,16,*,8,200D,26,2016-08-02,seq,16:36,16:45,0.00,0.15,0.15,2016-08-03,TD200,2,C,,Same infloresence as sample 24
2016,,054,,,3,SHALEAKALENSIS054,./Schiedea/SHALEAKALENSIS54_160803_7.D,haleakalensis,851,1,Cutting 1,,,,F,0,3,-,-,39,19,62,,,,16,*,8,200D,26,2016-08-02,16:06,16:48,17:22,0.70,0.57,1.27,2016-08-03,TD200,2,G,,
2016,,055,,,4,SSPERGULINA055,./Schiedea/SSPERGULINA55_160803_8.D,spergulina,060372,d8-13,,,,,F,4,6,-,-,2,39,31,,,,16,*,8,200D,26,2016-08-02,16:09,16:49,17:23,0.67,0.57,1.23,2016-08-03,TD200,2,G,,
2016,,056,,,5,SHOOKERI056,./Schiedea/SHOOKERI56_160803_9.D,hookeri,794,Loc 2,Clone 1,,,,H,16,4,2,37,21,21,39,,,,16,*,8,200D,26,2016-08-02,16:36,17:24,17:53,0.80,0.48,1.28,2016-08-03,TD200,2,G,,
2016,,057,,,6,SNUTTALI057,./Schiedea/SNUTTALI57_160803_0.D,nuttali,861,10,Pot 9,,,,H,0,5,6,3,11,11,9,,,,16,*,8,200D,26,2016-08-02,16:42,17:27,17:56,0.75,0.48,1.23,2016-08-03,TD200,2,G,,
2016,,058,,,7,SJACOBII058,./Schiedea/SJACOBII58_160803_1.D,jacobii,14807,B-2,-,,,,H,0,1,2,26,31,31,28,,,,16,*,8,200D,25,2016-08-02,17:42,18:00,18:42,0.30,0.55,0.85,2016-08-03,TD200,2,G,,"Battery dead, so reset at 17:39"
2016,,059,,,8,SSARMENTOSA059,./Schiedea/SSARMENTOSA59_160803_2.D,sarmentosa,896,123-16,-,,,,F,0,12,-,-,13,13,33,,,,32,*,8,200D,25,2016-08-02,17:53,18:35,19:35,0.70,0.47,1.17,2016-08-03,TD200,2,G,,"Trap slipped, so reset at 19:06"
2016,,060,,,9,SHOOKERI060,./Schiedea/SHOOKERI60_160803_3.D,hookeri,866,2,Clone 1,,,D,H,12,2,4,22,10,9,26,,,,16,*,8,200D,25,2016-08-02,18:11,18:45,19:29,0.57,0.73,1.30,2016-08-03,TD200,2,G,,Same infloresence as sample 42
2016,,061,,,10,AMBIENT061,./Ambient/AMBIENT61_160803_4.D,ambient,-,-,-,,,,-,-,-,-,-,-,-,-,,,,16,-,8,200D,25,2016-08-02,-,18:03,18:31,0.00,0.47,0.47,2016-08-03,TD200,2,G,,
2016,,062,,,11,SMENZIESII062,./Schiedea/SMENZIESII62_160803_3.D,menziesii,849,17-13,Cutting 1,,,,H,3,6,0,19,10,10,19,,,,16,*,8,200D,25,2016-08-02,18:42,19:35,20:05,0.88,0.50,1.38,2016-08-03,TD200,2,G,,
2016,,063,,,16,SADAMANTIS063,./batch160821/SADAMANTIS63_160816_4.D,adamantis,847,324-93,-,,,,F,6,2,-,-,25,10,44,,,,16,*,8,200D,24,2016-08-15,18:07,18:37,19:07,0.50,0.50,1.00,2016-08-16,TD200,2,G,,
2016,,064,,,17,SADAMANTIS064,./batch160821/SADAMANTIS64_160816_5.D,adamantis,847,357-1,-,,,,H,2,2,8,24,12,20,32,,,,16,*,8,200D,24,2016-08-15,18:16,18:49,19:19,0.55,0.50,1.05,2016-08-16,TD200,2,G,,
2016,,065,,,18,SAPOKREMNOS065,./batch160821/SAPOKREMNOS65_160816_6.D,apokremnos,889,1 F x M-1-1,,,,,F,0,2,-,-,5,1,47,,,,16,*,8,200D,24,2016-08-15,18:59,19:34,20:04,0.58,0.50,1.08,2016-08-16,TD200,2,G,,
2016,,066,,,19,SAPOKREMNOS066,./batch160821/SAPOKREMNOS66_160816_7.D,apokremnos,889,1 F x M-1-5,,,,,H,1,2,-,-,21,5,34,,,,16,*,8,200D,24,2016-08-15,19:02,19:39,20:09,0.62,0.50,1.12,2016-08-16,TD200,2,G,,
2016,,067,,,20,SMENZIESII067,./batch160821/SMENZIESII67_160816_8.D,menziesii,950,427-47,Clone 2,,,,H,0,4,2,10,10,8,12,,,,16,*,8,200D,24,2016-08-15,19:32,20:07,20:37,0.58,0.50,1.08,2016-08-16,TD200,2,G,,
2016,,068,,,21,SMENZIESII068,./batch160821/SMENZIESII68_160816_9.D,menziesii,950,410-2,-,,,,H,2,4,1,23,14,12,24,,,,16,*,8,200D,24,2016-08-15,19:37,20:10,20:45,0.55,0.58,1.13,2016-08-16,TD200,2,G,,
2016,,069,,,22,SHOOKERI069,./batch160821/SHOOKERI69_160816_0.D,hookeri,794,Loc 2,Clone 2,,,,H,4,4,0,35,2,9,35,,,,16,*,8,200D,24,2016-08-15,20:15,20:49,21:19,0.57,0.50,1.07,2016-08-16,TD200,2,G,,
2016,,070,,,23,SHOOKERI070,./batch160821/SHOOKERI70_160816_1.D,hookeri,891,3-11,-,,,,H,3,2,1,14,15,7,15,,,,16,*,8,200D,24,2016-08-15,20:19,20:49,21:19,0.50,0.50,1.00,2016-08-16,TD200,2,G,,
2016,,071,,,24,AMBIENT071,./batch160821/AMBIENT71_160816_3.D,ambient,-,-,Clone 1,,,,-,-,-,-,-,-,-,-,,,,16,-,8,200D,24,2016-08-15,-,21:33,21:53,0.00,0.33,0.33,2016-08-16,TD200,2,G,,
2016,,072,,,16,SGLOBOSA072,./batch160821/SGLOBOSA72_160818_4.D,globosa,10228,060,Cutting 2,,,,M,2,3,-,-,32,26,50,,,,16,*,8,200D,23,2016-08-17,17:55,18:33,19:08,0.63,0.58,1.22,2016-08-18,TD200,2,G,,
2016,,073,,,17,SGLOBOSA073,./batch160821/SGLOBOSA73_160818_5.D,globosa,13886,25,Cutting ?,,,,M,0,2,-,-,5,13,21,,,,16,*,8,200D,23,2016-08-17,17:56,18:36,19:08,0.67,0.53,1.20,2016-08-18,TD200,2,G,,
2016,,074,,,18,STRINERVIS074,./batch160821/STRINERVIS74_160818_6.D,trinervis,5448,2 of 14,-,,,,H,4,1,-,-,0,12,3,,,,tiny,*,8,200D,23,2016-08-17,18:40,19:13,19:43,0.55,0.50,1.05,2016-08-18,TD200,2,G,,
2016,,075,,,19,SSTELLARIODES075,./batch160821/SSTELLARIODES75_160818_7.D,stellariodes,14765,20-J,-,,,,H,10,2,0,12,34,5,12,,,,16,*,8,200D,23,2016-08-17,18:45,19:15,19:45,0.50,0.50,1.00,2016-08-18,TD200,2,G,,
2016,,076,,,20,SGLOBOSA076,./batch160821/SGLOBOSA76_160818_8.D,globosa,906,19-4,Cutting 2,,,,F,1,3,-,-,30,11,40,,,,16,*,8,200D,23,2016-08-17,19:18,19:48,20:18,0.50,0.50,1.00,2016-08-18,TD200,2,G,,
2016,,077,,,21,SGLOBOSA077,./batch160821/SGLOBOSA77_160818_9.D,globosa,906,1045A x 242-10 2,,,,,M,0,1,-,-,27,8,19,,,,16,*,8,200D,23,2016-08-17,-,19:53,20:23,0.00,0.50,0.50,2016-08-18,TD200,2,G,,
2016,,078,,,22,SKAALAE078,./batch160821/SKAALAE78_160818_0.D,kaalae,892,3,,,,,H,0,1,0,26,39,5,26,,,,16,*,8,200D,23,2016-08-17,19:57,20:23,20:54,0.43,0.52,0.95,2016-08-18,TD200,2,G,,"Trap slipped, so reset with V24"
2016,,079,,,23,SKAALAE079,./batch160821/SKAALAE79_160818_1.D,kaalae,881,2,Self 8,,,,H,0,2,0,39,25,25,39,,,,16,*,8,200D,23,2016-08-17,20:02,20:25,20:55,0.38,0.50,0.88,2016-08-18,TD200,2,G,,
2016,,080,,,24,SKAALAE080,./batch160821/SKAALAE80_160818_2.D,kaalae,892,3,,,,,H,0,1,0,26,39,5,26,,,,16,*,8,200D,23,2016-08-17,seq,21:43,22:13,0.00,0.50,0.50,2016-08-18,TD200,2,G,,
2016,,081,,,1,SHOOKERI081,./batch160821/SHOOKERI81_160818_3.D,hookeri,794,4,,,,,H,7,4,0,11,10,5,11,,,,16,*,8,200D,23,2016-08-17,20:33,21:01,22:09,0.47,0.55,1.02,2016-08-18,TD200,2,G,,"Trap slipped, so reset at 21:39"
2016,,082,,,2,SHOOKERI082,./batch160821/SHOOKERI82_160818_4.D,hookeri,891,3-3,Cutting ?,,,,H,7,4,0,10,0,14,10,,,,16,*,8,200D,23,2016-08-17,20:36,20:58,21:36,0.37,0.63,1.00,2016-08-18,TD200,2,G,,
2016,,083,,,3,AMBIENT083,./batch160821/AMBIENT83_160818_3.D,ambient,-,-,-,,,,-,-,-,-,-,-,-,-,,,,16,-,8,200D,23,2016-08-17,-,22:12,22:34,0.00,0.37,0.37,2016-08-18,TD200,2,G,,
2016,,084,,,4,SSALICARIA084,#N/A,salicaria,842,162-21,Plant 2,,,,H,0,2,5,18,3,12,23,,,,16,*,8,200D,24,2016-08-25,17:39,18:10,18:43,0.52,0.55,1.07,2016-08-30,TD200,2,C,benzenes and high boilers,
2016,,085,,,5,SSALICARIA085,#N/A,salicaria,853,48-16,Plant 1,,,,H,0,2,3,24,4,13,27,,,,16,*,8,200D,24,2016-08-25,17:41,18:19,18:52,0.63,0.55,1.18,2016-08-30,TD200,2,C,benzenes and high boilers,
2016,,086,,,6,SGLOBOSA086,#N/A,globosa,102HU,10213,Cutting 1,,,,F,0,3,-,-,8,45,109,,,,16,*,8,200D,24,2016-08-25,18:22,18:55,19:27,0.55,0.53,1.08,2016-08-29,TD200,2,0,desorbed,
2016,,087,,,7,SGLOBOSA087,#N/A,globosa,13885,15,?,,,,F,0,3,-,-,54,54,29,,,,16,*,8,200D,24,2016-08-25,18:27,18:57,19:29,0.50,0.53,1.03,2016-08-29,TD200,2,C,benzenes and high boilers,
2016,,088,,,8,SKEALIAE088,./batch160830/SKEALIAE88_160826_8.D,kealiae,791,502-17,Cutting 2,,,,F,4,3,-,-,4,61,42,,,,16,*,8,200D,24,2016-08-25,18:52,19:33,20:04,0.68,0.52,1.20,2016-08-26,TD200,2,G,,
2016,,089,,,9,SKEALIAE089,./batch160830/SKEALIAE89_160826_7.D,kealiae,791,2011-3F-2,-,,,,M,4,2,-,-,19,20,69,,,,16,*,8,200D,24,2016-08-25,19:04,19:35,20:05,0.52,0.50,1.02,2016-08-26,TD200,2,G,,
2016,,090,,,10,SVERTICILLATA090,#N/A,verticillata,880,1,Clone 2,,,,H,2,1,1,5,5,8,6,,,,16,*,8,200D,24,2016-08-25,19:26,20:06,20:38,0.67,0.53,1.20,2016-08-26,TD200,2,0,desorbed,
2016,,091,,,11,SJACOBII091,./batch160830/SJACOBII91_160826_6.D,jacobii,14807,13-2,-,,,,H,0,1,2,15,22,19,17,,,,16,*,8,200D,24,2016-08-25,19:37,20:09,20:39,0.53,0.50,1.03,2016-08-26,TD200,2,G,,
2016,,092,,,12,SMEMBRANACEA092,./batch160830/SMEMBRANACEA92_160826_5.D,membranacea,864,No tag #1,-,,,,H,6,1,2,19,20,16,21,,,,16,*,8,200D,24,2016-08-25,20:18,20:50,21:23,0.53,0.55,1.08,2016-08-26,TD200,2,G,,
2016,,093,,,13,SMEMBRANACEA093,./batch160830/SMEMBRANACEA93_160826_4.D,membranacea,864,190-33,Clone 1,,,,H,4,1,0,24,76,21,24,,,,16,*,8,200D,24,2016-08-25,20:26,21:02,21:32,0.60,0.50,1.10,2016-08-26,TD200,2,G,,
2016,,094,,,14,SLGLOBOSA094,./batch160830/SLGLOBOSA94_160826_3.D,Lglobosa,13885,15,Clone 2,,,,F,35,-,-,-,-,-,-,,,,16,,8,200D,24,2016-08-25,-,20:48,21:00,0.00,0.20,0.20,2016-08-26,TD200,2,G,,
2016,,095,,,15,AMBIENT095,#N/A,ambient,-,-,-,,,,-,-,-,-,-,-,-,-,,,,16,-,8,200D,24,2016-08-25,-,21:26,21:56,0.00,0.50,0.50,2016-08-26,TD200,2,0,desorbed,
2016,,096,,,16,SLYCHNOIDES096,./batch160906/SLYCHNOIDES096_160831_3.D,lychnoides,867,4,Pot 19,,,,H,6,1,-,-,0,2,6,,,,16,*,8,200D,29,2016-08-30,14:50,17:40,18:26,2.83,0.77,3.60,2016-08-31,TD200,2,G,,
