FileName,Year,Page,Sample,Flow,Mass,Vial,Filename,Path,Species,Population,Plant,Cutting,PlantDate,Inflo,Diurnal,Sex,Leaves,Inflor,Mphase,Fphase,Closed,Buds,Flrs,ClosedCN,BudsCN,FlrsCN,Bag,Photo,Room,FlowRate,Temp,SampleDate,Equil,Start,Stop,Equi,Duration,Total,RunDate,Method,Blank,GC,Results,Notes,DN,sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,user,FullName,id,desorb.Start.diff,nameBlank,Mixup,kBlank,Cluster,n_peaks,vial,dupe,ApproxDate,Period,SteelTube,Problem,Note,TubeMatch,sample,verdict,FileName2,dupe2,badtube,type,sp,sp2,Species2,Species2Pop
Blank1_6242019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-24T22:05:15Z,2019-06-25T05:09:14Z,2019-06-25T05:02:14Z,2019-06-25T05:02:14Z,Desorbed NA,10,1,2,1,-1,420,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6242019_02.qgd,f2afb07d-9e6b-4114-afc7-e9dd8a3ab5fd,8044,TRUE,FALSE,TRUE,32,324,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6242019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6252019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-25T10:42:52Z,2019-06-25T17:47:49Z,2019-06-25T17:39:44Z,2019-06-25T17:39:44Z,Desorbed NA,10,1,1,1,0,485,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6252019_01.qgd,6041414e-5e6f-474b-9b5e-c7e9482190f1,8122,TRUE,FALSE,TRUE,32,328,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6252019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6252019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-25T22:32:43Z,2019-06-26T05:37:40Z,2019-06-26T05:30:03Z,2019-06-26T05:30:03Z,Desorbed NA,10,1,2,1,-1,457,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6252019_02.qgd,f6066940-cc13-4391-bb99-6bd93f8cfca6,2061.5,TRUE,FALSE,TRUE,32,310,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6252019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6262019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-26T11:39:56Z,2019-06-26T18:44:56Z,2019-06-26T18:38:32Z,2019-06-26T18:38:32Z,Desorbed NA,10,1,1,1,0,384,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6262019_01.qgd,afcf76a4-2a72-49bb-89f5-40cddb5fcff0,7668,TRUE,FALSE,TRUE,32,330,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6262019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6262019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-26T23:27:57Z,2019-06-27T06:32:13Z,2019-06-27T06:23:40Z,2019-06-27T06:23:40Z,Desorbed NA,10,1,2,1,-1,513,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6262019_02.qgd,8bbcb6a6-9894-47d9-b137-f15e80660d54,NA,TRUE,FALSE,TRUE,32,335,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6262019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6272019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-27T12:08:09Z,2019-06-27T19:12:13Z,2019-06-27T19:06:18Z,2019-06-27T19:06:18Z,Desorbed NA,10,1,1,1,0,355,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6272019_01.qgd,a2243987-d99b-41af-bfe8-db15071ec61f,6232,TRUE,FALSE,TRUE,32,309,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6272019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6272019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-27T23:02:13Z,2019-06-28T06:06:09Z,2019-06-28T06:00:06Z,2019-06-28T06:00:06Z,Desorbed NA,10,1,2,1,-1,363,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6272019_02.qgd,11097e46-cc8e-4ffb-99b2-eab8af2add1d,2405,TRUE,FALSE,TRUE,32,309,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6272019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6282019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-28T11:59:38Z,2019-06-28T19:04:37Z,2019-06-28T18:51:55Z,2019-06-28T18:51:55Z,Desorbed NA,10,1,1,1,0,762,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6282019_01.qgd,60a327f0-9aff-42e2-a37f-81b639a9bb7d,7272,TRUE,FALSE,TRUE,32,334,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6282019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6282019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-28T23:18:02Z,2019-06-29T06:23:00Z,2019-06-29T06:16:11Z,2019-06-29T06:16:11Z,Desorbed NA,10,1,2,1,-1,409,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6282019_02.qgd,be987cf5-8e00-4e56-a92b-c9e655337678,1708,TRUE,FALSE,TRUE,32,326,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6282019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6292019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-29T12:20:44Z,2019-06-29T19:25:42Z,2019-06-29T19:19:45Z,2019-06-29T19:19:45Z,Desorbed NA,10,1,1,1,0,357,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6292019_01.qgd,a5b8c6fa-814e-4190-bd54-9077480af3c7,6438,TRUE,FALSE,TRUE,32,318,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6292019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6292019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-29T21:52:18Z,2019-06-30T04:57:04Z,2019-06-30T04:51:39Z,2019-06-30T04:51:39Z,Desorbed NA,10,1,2,1,-1,325,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6292019_02.qgd,723539bb-44c7-4a3a-8342-4c29236ffa6a,1600,TRUE,FALSE,TRUE,20,316,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6292019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6302019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-30T18:12:48Z,2019-07-01T01:17:38Z,2019-07-01T01:11:02Z,2019-07-01T01:11:02Z,Desorbed NA,10,1,1,1,0,396,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6302019_01.qgd,57f00269-1177-4ce8-baec-9682b1d4c931,35698,TRUE,FALSE,TRUE,20,345,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6302019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_712019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-07-01T09:13:11Z,2019-07-01T16:18:07Z,2019-07-01T16:12:22Z,2019-07-01T16:12:22Z,Desorbed NA,10,1,1,1,0,345,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_712019_01.qgd,7cb05f75-356a-4525-a0cc-91ee5ea65cd1,4590,TRUE,FALSE,TRUE,20,376,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_712019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_712019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-07-01T22:30:52Z,2019-07-02T05:35:46Z,2019-07-02T05:30:16Z,2019-07-02T05:30:16Z,Desorbed NA,10,1,2,1,-1,330,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_712019_02.qgd,2d9a9039-fff3-4808-96a0-0ee099d648ae,2653.5,TRUE,FALSE,TRUE,20,322,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_712019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_722019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-07-02T08:53:30Z,2019-07-02T15:58:16Z,2019-07-02T15:52:56Z,2019-07-02T15:52:56Z,Desorbed NA,10,1,1,1,0,320,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_722019_01.qgd,76947b8a-46a6-44f7-bf99-b09e318e34e9,1812,TRUE,FALSE,TRUE,20,355,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_722019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_722019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-07-02T21:21:55Z,2019-07-03T04:26:37Z,2019-07-03T04:21:15Z,2019-07-03T04:21:15Z,Desorbed NA,10,1,2,1,-1,322,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_722019_02.qgd,9d215153-403d-4607-a760-9bc96af67c8e,NA,TRUE,FALSE,TRUE,20,358,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_722019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_7222019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-07-22T11:15:58Z,2019-07-22T18:20:50Z,2019-07-22T18:14:58Z,2019-07-22T18:14:58Z,Desorbed NA,10,1,1,1,0,352,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_7222019_01.qgd,11df5c41-b22c-432b-a841-c13e626cd3c3,42732,TRUE,FALSE,TRUE,20,321,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_7222019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_732019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-07-03T09:20:28Z,2019-07-03T16:25:24Z,2019-07-03T16:17:13Z,2019-07-03T16:17:13Z,Desorbed NA,10,1,1,1,0,491,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_732019_01.qgd,196c6ed5-1315-4c4f-aa96-9ca7454f4549,2855.5,TRUE,FALSE,TRUE,20,365,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_732019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_732019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-07-03T21:51:44Z,2019-07-04T04:56:35Z,2019-07-04T04:45:21Z,2019-07-04T04:45:21Z,Desorbed NA,10,1,2,1,-1,674,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_732019_02.qgd,913f33d4-0004-46d1-816f-c6f81616c4de,3916,TRUE,FALSE,TRUE,20,345,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_732019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_742019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-07-04T14:58:27Z,2019-07-04T22:03:17Z,2019-07-04T21:56:34Z,2019-07-04T21:56:34Z,Desorbed NA,10,1,1,1,0,403,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_742019_01.qgd,48800a32-6b6c-4ac6-80c2-31cb29b7153f,10124,TRUE,FALSE,TRUE,20,343,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_742019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_742019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-07-04T23:50:31Z,2019-07-05T06:55:26Z,2019-07-05T06:48:59Z,2019-07-05T06:48:59Z,Desorbed NA,10,1,2,1,-1,387,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_742019_02.qgd,45c7a3b2-a2de-4d34-9837-1112fa7ad1ca,14488,TRUE,FALSE,TRUE,20,371,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_742019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
